2025-03-03 03:55:50 [error]: Found multiple elements with data-testid="AssemblySclad-PrintTableBody-ShipmentsCell"
2025-03-03 03:55:53 [error]: Found multiple elements with data-testid="ModalShipmentsToIzed-tbody-tr-buyers"
2025-03-03 03:55:56 [error]: No elements found with partial data-testid="complect"
2025-03-03 03:55:59 [error]: No elements found with partial data-testid="ModalKomplect-komplect-table-body-row"
2025-03-03 03:55:59 [error]: No element found with id="ModalKomplect-komplect-table-body-row"
2025-03-03 03:55:59 [error]: Table 1 is missing <thead>.
2025-03-03 03:55:59 [warn]: Duplicate data-testid "ShipmentsListTable-orderRow" found in Table 1
2025-03-03 03:55:59 [warn]: Duplicate data-testid "ShipmentsListTable-stockOrderRow" found in Table 1
2025-03-03 03:56:03 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-buyers" found in Table 3
2025-03-03 03:56:03 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-sclad" found in Table 4
2025-03-03 03:56:03 [warn]: Duplicate data-testid "TableKomplect-row" found in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:56:03 [warn]: Cell <td> is missing data-testid in Table 5
